Genotype,Condition,Odor,Response.time,Experimenter,Date,Average,NR
N2,control,30pct,12.31,TB,2024-01-21,,
N2,control,30pct,4.84,TB,2024-01-21,,
N2,control,30pct,7.8,TB,2024-01-21,,
N2,control,30pct,16.57,TB,2024-01-21,,
N2,control,30pct,2.91,TB,2024-01-21,,
N2,control,30pct,7.35,TB,2024-01-21,,
N2,control,30pct,3.97,TB,2024-01-21,,
N2,control,30pct,5.01,TB,2024-01-21,,
N2,control,30pct,8.1,TB,2024-01-21,,
N2,control,30pct,8.21,TB,2024-01-21,,
N2,control,30pct,17.05,TB,2024-01-21,,
N2,control,30pct,6.88,TB,2024-01-21,,
N2,control,30pct,2.29,TB,2024-01-21,,
N2,control,30pct,17.94,TB,2024-01-21,,
N2,control,30pct,4.94,TB,2024-01-21,,
N2,control,30pct,18.7,TB,2024-01-21,,
N2,control,30pct,3.38,TB,2024-01-21,,
N2,control,30pct,9.2,TB,2024-01-21,,
N2,control,30pct,3.46,TB,2024-01-21,,
N2,control,30pct,9.63,TB,2024-01-21,,
N2,control,30pct,15.16,TB,2024-01-21,,
N2,control,30pct,11.51,TB,2024-01-21,,
N2,control,30pct,10.49,TB,2024-01-21,9.030434783,3
tbh-1,control,30pct,4.23,TB,2024-01-21,,
tbh-1,control,30pct,5.68,TB,2024-01-21,,
tbh-1,control,30pct,9.97,TB,2024-01-21,,
tbh-1,control,30pct,4.18,TB,2024-01-21,,
tbh-1,control,30pct,13.78,TB,2024-01-21,,
tbh-1,control,30pct,2.46,TB,2024-01-21,,
tbh-1,control,30pct,8.51,TB,2024-01-21,,
tbh-1,control,30pct,1.53,TB,2024-01-21,,
tbh-1,control,30pct,3.77,TB,2024-01-21,,
tbh-1,control,30pct,8.21,TB,2024-01-21,,
tbh-1,control,30pct,8.13,TB,2024-01-21,,
tbh-1,control,30pct,6.31,TB,2024-01-21,,
tbh-1,control,30pct,7.62,TB,2024-01-21,,
tbh-1,control,30pct,5.75,TB,2024-01-21,,
tbh-1,control,30pct,7.98,TB,2024-01-21,,
tbh-1,control,30pct,2.37,TB,2024-01-21,,
tbh-1,control,30pct,1.41,TB,2024-01-21,,
tbh-1,control,30pct,1.13,TB,2024-01-21,5.723333333,1
cest-2.1,control,30pct,6.27,TB,2024-01-21,,
cest-2.1,control,30pct,11.12,TB,2024-01-21,,
cest-2.1,control,30pct,9.42,TB,2024-01-21,,
cest-2.1,control,30pct,6.22,TB,2024-01-21,,
cest-2.1,control,30pct,4.15,TB,2024-01-21,,
cest-2.1,control,30pct,1.64,TB,2024-01-21,,
cest-2.1,control,30pct,4.27,TB,2024-01-21,,
cest-2.1,control,30pct,1.18,TB,2024-01-21,,
cest-2.1,control,30pct,5.51,TB,2024-01-21,,
cest-2.1,control,30pct,8.75,TB,2024-01-21,,
cest-2.1,control,30pct,3.47,TB,2024-01-21,,
cest-2.1,control,30pct,1.71,TB,2024-01-21,,
cest-2.1,control,30pct,5.81,TB,2024-01-21,,
cest-2.1,control,30pct,2.84,TB,2024-01-21,,
cest-2.1,control,30pct,6.2,TB,2024-01-21,,
cest-2.1,control,30pct,6.65,TB,2024-01-21,,
cest-2.1,control,30pct,7.03,TB,2024-01-21,,
cest-2.1,control,30pct,2.02,TB,2024-01-21,,
cest-2.1,control,30pct,3.43,TB,2024-01-21,,
cest-2.1,control,30pct,7.19,TB,2024-01-21,,
cest-2.1,control,30pct,1.54,TB,2024-01-21,5.067619048,2
cest-2.1,4mMOA,30pct,13.95,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.19,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,4.35,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.93,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,8.37,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,4.83,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,13.16,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.2,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.05,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,13.26,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,11.07,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,8.08,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,10.25,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.19,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,11.31,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.03,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,5.41,TB,2024-01-21,10.27235294,2
N2,4mMOA,30pct,11.47,TB,2024-01-21,,
N2,4mMOA,30pct,17.31,TB,2024-01-21,,
N2,4mMOA,30pct,12.16,TB,2024-01-21,,
N2,4mMOA,30pct,5.89,TB,2024-01-21,,
N2,4mMOA,30pct,7.53,TB,2024-01-21,,
N2,4mMOA,30pct,6.63,TB,2024-01-21,,
N2,4mMOA,30pct,10.01,TB,2024-01-21,,
N2,4mMOA,30pct,13.61,TB,2024-01-21,,
N2,4mMOA,30pct,9.75,TB,2024-01-21,,
N2,4mMOA,30pct,11.33,TB,2024-01-21,,
N2,4mMOA,30pct,4.08,TB,2024-01-21,,
N2,4mMOA,30pct,13.42,TB,2024-01-21,,
N2,4mMOA,30pct,8.45,TB,2024-01-21,,
N2,4mMOA,30pct,6.38,TB,2024-01-21,,
N2,4mMOA,30pct,3.73,TB,2024-01-21,,
N2,4mMOA,30pct,14.58,TB,2024-01-21,,
N2,4mMOA,30pct,5.84,TB,2024-01-21,,
N2,4mMOA,30pct,12.79,TB,2024-01-21,,
N2,4mMOA,30pct,6.94,TB,2024-01-21,,
N2,4mMOA,30pct,2.83,TB,2024-01-21,9.2365,3
tbh-1,4mMOA,30pct,3.87,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.87,TB,2024-01-21,,
tbh-1,4mMOA,30pct,11.45,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.99,TB,2024-01-21,,
tbh-1,4mMOA,30pct,10.46,TB,2024-01-21,,
tbh-1,4mMOA,30pct,7.17,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.01,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.46,TB,2024-01-21,,
tbh-1,4mMOA,30pct,17.74,TB,2024-01-21,,
tbh-1,4mMOA,30pct,14.38,TB,2024-01-21,,
tbh-1,4mMOA,30pct,1.13,TB,2024-01-21,,
tbh-1,4mMOA,30pct,4.19,TB,2024-01-21,,
tbh-1,4mMOA,30pct,6.79,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.04,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.21,TB,2024-01-21,,
tbh-1,4mMOA,30pct,12.52,TB,2024-01-21,7.83,2
N2,control,30pct,7.16,TB,2024-01-30,,
N2,control,30pct,7.54,TB,2024-01-30,,
N2,control,30pct,6.62,TB,2024-01-30,,
N2,control,30pct,6.68,TB,2024-01-30,,
N2,control,30pct,1.51,TB,2024-01-30,,
N2,control,30pct,2.13,TB,2024-01-30,,
N2,control,30pct,3.95,TB,2024-01-30,,
N2,control,30pct,5.29,TB,2024-01-30,,
N2,control,30pct,5.45,TB,2024-01-30,,
N2,control,30pct,5.51,TB,2024-01-30,,
N2,control,30pct,13.51,TB,2024-01-30,,
N2,control,30pct,15.69,TB,2024-01-30,,
N2,control,30pct,2.81,TB,2024-01-30,,
N2,control,30pct,16.04,TB,2024-01-30,,
N2,control,30pct,12.68,TB,2024-01-30,,
N2,control,30pct,19.82,TB,2024-01-30,,
N2,control,30pct,11.71,TB,2024-01-30,,
N2,control,30pct,7.39,TB,2024-01-30,,
N2,control,30pct,11,TB,2024-01-30,,
N2,control,30pct,3.14,TB,2024-01-30,,
N2,control,30pct,9.55,TB,2024-01-30,,
N2,control,30pct,10.63,TB,2024-01-30,8.445909091,0
cest-2.1,control,30pct,2.02,TB,2024-01-30,,
cest-2.1,control,30pct,3.39,TB,2024-01-30,,
cest-2.1,control,30pct,11.78,TB,2024-01-30,,
cest-2.1,control,30pct,3.2,TB,2024-01-30,,
cest-2.1,control,30pct,4.92,TB,2024-01-30,,
cest-2.1,control,30pct,7.39,TB,2024-01-30,,
cest-2.1,control,30pct,2.27,TB,2024-01-30,,
cest-2.1,control,30pct,4.95,TB,2024-01-30,,
cest-2.1,control,30pct,2.55,TB,2024-01-30,,
cest-2.1,control,30pct,12.96,TB,2024-01-30,,
cest-2.1,control,30pct,4.41,TB,2024-01-30,,
cest-2.1,control,30pct,1.93,TB,2024-01-30,,
cest-2.1,control,30pct,8.29,TB,2024-01-30,,
cest-2.1,control,30pct,2.6,TB,2024-01-30,,
cest-2.1,control,30pct,1.28,TB,2024-01-30,,
cest-2.1,control,30pct,7.65,TB,2024-01-30,,
cest-2.1,control,30pct,7.04,TB,2024-01-30,,
cest-2.1,control,30pct,1.96,TB,2024-01-30,,
cest-2.1,control,30pct,6.13,TB,2024-01-30,,
cest-2.1,control,30pct,3.66,TB,2024-01-30,5.019,1
tbh-1,control,30pct,8.34,TB,2024-01-30,,
tbh-1,control,30pct,2.59,TB,2024-01-30,,
tbh-1,control,30pct,6.32,TB,2024-01-30,,
tbh-1,control,30pct,3.55,TB,2024-01-30,,
tbh-1,control,30pct,8.75,TB,2024-01-30,,
tbh-1,control,30pct,5.71,TB,2024-01-30,,
tbh-1,control,30pct,7.67,TB,2024-01-30,,
tbh-1,control,30pct,2.12,TB,2024-01-30,,
tbh-1,control,30pct,3.91,TB,2024-01-30,,
tbh-1,control,30pct,6.36,TB,2024-01-30,,
tbh-1,control,30pct,5.48,TB,2024-01-30,,
tbh-1,control,30pct,5.42,TB,2024-01-30,,
tbh-1,control,30pct,2.41,TB,2024-01-30,,
tbh-1,control,30pct,1.96,TB,2024-01-30,,
tbh-1,control,30pct,9.24,TB,2024-01-30,,
tbh-1,control,30pct,2.05,TB,2024-01-30,,
tbh-1,control,30pct,6.08,TB,2024-01-30,,
tbh-1,control,30pct,14.55,TB,2024-01-30,,
tbh-1,control,30pct,6.04,TB,2024-01-30,5.713157895,3
N2,4mMOA,30pct,4.23,TB,2024-01-30,,
N2,4mMOA,30pct,12.33,TB,2024-01-30,,
N2,4mMOA,30pct,14.38,TB,2024-01-30,,
N2,4mMOA,30pct,9.28,TB,2024-01-30,,
N2,4mMOA,30pct,9.92,TB,2024-01-30,,
N2,4mMOA,30pct,11.43,TB,2024-01-30,,
N2,4mMOA,30pct,6.11,TB,2024-01-30,,
N2,4mMOA,30pct,8.6,TB,2024-01-30,,
N2,4mMOA,30pct,12.41,TB,2024-01-30,,
N2,4mMOA,30pct,14.42,TB,2024-01-30,,
N2,4mMOA,30pct,4.3,TB,2024-01-30,,
N2,4mMOA,30pct,7.89,TB,2024-01-30,,
N2,4mMOA,30pct,8.34,TB,2024-01-30,,
N2,4mMOA,30pct,3.36,TB,2024-01-30,,
N2,4mMOA,30pct,15.69,TB,2024-01-30,,
N2,4mMOA,30pct,3.9,TB,2024-01-30,,
N2,4mMOA,30pct,13.46,TB,2024-01-30,,
N2,4mMOA,30pct,10.06,TB,2024-01-30,,
N2,4mMOA,30pct,21.21,TB,2024-01-30,,
N2,4mMOA,30pct,2.26,TB,2024-01-30,,
N2,4mMOA,30pct,6.38,TB,2024-01-30,,
N2,4mMOA,30pct,19.81,TB,2024-01-30,,
N2,4mMOA,30pct,12.98,TB,2024-01-30,10.11956522,3
cest-2.1,4mMOA,30pct,6.82,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,6.41,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,7.62,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,4.12,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,8.28,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,12.2,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,0.93,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,0.81,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,7.27,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,2.47,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,8.74,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,9.54,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,6.2,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,5.36,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,11.02,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,2.78,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,9.22,TB,2024-01-30,,
cest-2.1,4mMOA,30pct,3.76,TB,2024-01-30,6.308333333,1
tbh-1,4mMOA,30pct,7.48,TB,2024-01-30,,
tbh-1,4mMOA,30pct,11.7,TB,2024-01-30,,
tbh-1,4mMOA,30pct,9.55,TB,2024-01-30,,
tbh-1,4mMOA,30pct,2.17,TB,2024-01-30,,
tbh-1,4mMOA,30pct,8.23,TB,2024-01-30,,
tbh-1,4mMOA,30pct,8.07,TB,2024-01-30,,
tbh-1,4mMOA,30pct,4.79,TB,2024-01-30,,
tbh-1,4mMOA,30pct,7.81,TB,2024-01-30,,
tbh-1,4mMOA,30pct,12.81,TB,2024-01-30,,
tbh-1,4mMOA,30pct,4.96,TB,2024-01-30,,
tbh-1,4mMOA,30pct,12.03,TB,2024-01-30,,
tbh-1,4mMOA,30pct,1.92,TB,2024-01-30,,
tbh-1,4mMOA,30pct,8.47,TB,2024-01-30,,
tbh-1,4mMOA,30pct,5.09,TB,2024-01-30,,
tbh-1,4mMOA,30pct,1.84,TB,2024-01-30,,
tbh-1,4mMOA,30pct,8.37,TB,2024-01-30,7.205625,0
N2,4mMOA,30pct,6.93,TB,2023-11-10,,
N2,4mMOA,30pct,12.53,TB,2023-11-10,,
N2,4mMOA,30pct,15.96,TB,2023-11-10,,
N2,4mMOA,30pct,16.48,TB,2023-11-10,,
N2,4mMOA,30pct,11.61,TB,2023-11-10,,
N2,4mMOA,30pct,3.26,TB,2023-11-10,,
N2,4mMOA,30pct,4.96,TB,2023-11-10,,
N2,4mMOA,30pct,3.68,TB,2023-11-10,,
N2,4mMOA,30pct,11.86,TB,2023-11-10,,
N2,4mMOA,30pct,5.18,TB,2023-11-10,,
N2,4mMOA,30pct,5.8,TB,2023-11-10,,
N2,4mMOA,30pct,9.71,TB,2023-11-10,,
N2,4mMOA,30pct,2.51,TB,2023-11-10,,
N2,4mMOA,30pct,15.47,TB,2023-11-10,,
N2,4mMOA,30pct,15.96,TB,2023-11-10,,
N2,4mMOA,30pct,16.48,TB,2023-11-10,,
N2,4mMOA,30pct,11.61,TB,2023-11-10,,
N2,4mMOA,30pct,4.5,TB,2023-11-10,,
N2,4mMOA,30pct,9.6,TB,2023-11-10,,
N2,4mMOA,30pct,5.18,TB,2023-11-10,,
N2,4mMOA,30pct,10.36,TB,2023-11-10,,
N2,4mMOA,30pct,9.71,TB,2023-11-10,,
N2,4mMOA,30pct,2.51,TB,2023-11-10,9.210869565,4
tbh-1,4mMOA,30pct,10.58,TB,2023-11-10,,
tbh-1,4mMOA,30pct,15.25,TB,2023-11-10,,
tbh-1,4mMOA,30pct,12.67,TB,2023-11-10,,
tbh-1,4mMOA,30pct,9.19,TB,2023-11-10,,
tbh-1,4mMOA,30pct,2.73,TB,2023-11-10,,
tbh-1,4mMOA,30pct,12.09,TB,2023-11-10,,
tbh-1,4mMOA,30pct,7.2,TB,2023-11-10,,
tbh-1,4mMOA,30pct,3.51,TB,2023-11-10,,
tbh-1,4mMOA,30pct,7.92,TB,2023-11-10,,
tbh-1,4mMOA,30pct,4.93,TB,2023-11-10,,
tbh-1,4mMOA,30pct,5.27,TB,2023-11-10,,
tbh-1,4mMOA,30pct,5.27,TB,2023-11-10,,
tbh-1,4mMOA,30pct,13.96,TB,2023-11-10,,
tbh-1,4mMOA,30pct,4.1,TB,2023-11-10,,
tbh-1,4mMOA,30pct,7.26,TB,2023-11-10,,
tbh-1,4mMOA,30pct,2.38,TB,2023-11-10,,
tbh-1,4mMOA,30pct,8.31,TB,2023-11-10,,
tbh-1,4mMOA,30pct,6.02,TB,2023-11-10,,
tbh-1,4mMOA,30pct,6.19,TB,2023-11-10,,
tbh-1,4mMOA,30pct,8.32,TB,2023-11-10,,
tbh-1,4mMOA,30pct,3.24,TB,2023-11-10,7.447142857,3
cest-2.1,4mMOA,30pct,6.29,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,3.68,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,9.31,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,5.13,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,4.18,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,13.39,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,8.5,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,10.78,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,14.14,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,3.52,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,5.24,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,6.28,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,6.83,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,2.53,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,4.18,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,4.11,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,11.82,TB,2023-11-10,,
cest-2.1,4mMOA,30pct,2.15,TB,2023-11-10,6.781111111,1
N2,4mMOA,30pct,18.56,TB,2023-11-13,,
N2,4mMOA,30pct,10.51,TB,2023-11-13,,
N2,4mMOA,30pct,11.83,TB,2023-11-13,,
N2,4mMOA,30pct,3.2,TB,2023-11-13,,
N2,4mMOA,30pct,14.73,TB,2023-11-13,,
N2,4mMOA,30pct,17.3,TB,2023-11-13,,
N2,4mMOA,30pct,14,TB,2023-11-13,,
N2,4mMOA,30pct,19.7,TB,2023-11-13,,
N2,4mMOA,30pct,5.22,TB,2023-11-13,,
N2,4mMOA,30pct,4.4,TB,2023-11-13,,
N2,4mMOA,30pct,16.1,TB,2023-11-13,,
N2,4mMOA,30pct,12.71,TB,2023-11-13,,
N2,4mMOA,30pct,3.5,TB,2023-11-13,,
N2,4mMOA,30pct,12.1,TB,2023-11-13,,
N2,4mMOA,30pct,2.4,TB,2023-11-13,,
N2,4mMOA,30pct,9.4,TB,2023-11-13,,
N2,4mMOA,30pct,9.37,TB,2023-11-13,,
N2,4mMOA,30pct,17.14,TB,2023-11-13,,
N2,4mMOA,30pct,5.37,TB,2023-11-13,,
N2,4mMOA,30pct,10.6,TB,2023-11-13,10.907,0
tbh-1,4mMOA,30pct,2.8,TB,2023-11-13,,
tbh-1,4mMOA,30pct,18.4,TB,2023-11-13,,
tbh-1,4mMOA,30pct,12.65,TB,2023-11-13,,
tbh-1,4mMOA,30pct,3.51,TB,2023-11-13,,
tbh-1,4mMOA,30pct,7.38,TB,2023-11-13,,
tbh-1,4mMOA,30pct,10.57,TB,2023-11-13,,
tbh-1,4mMOA,30pct,8.39,TB,2023-11-13,,
tbh-1,4mMOA,30pct,2.97,TB,2023-11-13,,
tbh-1,4mMOA,30pct,5.49,TB,2023-11-13,,
tbh-1,4mMOA,30pct,15.32,TB,2023-11-13,,
tbh-1,4mMOA,30pct,4.96,TB,2023-11-13,,
tbh-1,4mMOA,30pct,12.36,TB,2023-11-13,,
tbh-1,4mMOA,30pct,3.3,TB,2023-11-13,,
tbh-1,4mMOA,30pct,4.03,TB,2023-11-13,,
tbh-1,4mMOA,30pct,7.27,TB,2023-11-13,,
tbh-1,4mMOA,30pct,2.73,TB,2023-11-13,,
tbh-1,4mMOA,30pct,6.73,TB,2023-11-13,,
tbh-1,4mMOA,30pct,3.83,TB,2023-11-13,7.371666667,2
N2,control,30pct,4.53,TB,2024-03-02,,
N2,control,30pct,14.04,TB,2024-03-02,,
N2,control,30pct,10.51,TB,2024-03-02,,
N2,control,30pct,18.86,TB,2024-03-02,,
N2,control,30pct,12.92,TB,2024-03-02,,
N2,control,30pct,10.98,TB,2024-03-02,,
N2,control,30pct,9.92,TB,2024-03-02,,
N2,control,30pct,11.07,TB,2024-03-02,,
N2,control,30pct,7.51,TB,2024-03-02,,
N2,control,30pct,3.66,TB,2024-03-02,,
N2,control,30pct,17.93,TB,2024-03-02,,
N2,control,30pct,8.11,TB,2024-03-02,,
N2,control,30pct,2.13,TB,2024-03-02,,
N2,control,30pct,6.69,TB,2024-03-02,,
N2,control,30pct,19.89,TB,2024-03-02,,
N2,control,30pct,4.15,TB,2024-03-02,,
N2,control,30pct,12.19,TB,2024-03-02,,
N2,control,30pct,1.99,TB,2024-03-02,,
N2,control,30pct,5.55,TB,2024-03-02,,
N2,control,30pct,1.62,TB,2024-03-02,,
N2,control,30pct,4.69,TB,2024-03-02,8.997142857,3
cest-2.1,control,30pct,5.55,TB,2024-03-02,,
cest-2.1,control,30pct,8.9,TB,2024-03-02,,
cest-2.1,control,30pct,8.79,TB,2024-03-02,,
cest-2.1,control,30pct,4.01,TB,2024-03-02,,
cest-2.1,control,30pct,1.79,TB,2024-03-02,,
cest-2.1,control,30pct,11.15,TB,2024-03-02,,
cest-2.1,control,30pct,4.42,TB,2024-03-02,,
cest-2.1,control,30pct,3.68,TB,2024-03-02,,
cest-2.1,control,30pct,5.49,TB,2024-03-02,,
cest-2.1,control,30pct,2.68,TB,2024-03-02,,
cest-2.1,control,30pct,3.29,TB,2024-03-02,,
cest-2.1,control,30pct,2.39,TB,2024-03-02,,
cest-2.1,control,30pct,1.8,TB,2024-03-02,,
cest-2.1,control,30pct,5.17,TB,2024-03-02,,
cest-2.1,control,30pct,6.23,TB,2024-03-02,,
cest-2.1,control,30pct,5.29,TB,2024-03-02,,
cest-2.1,control,30pct,7.41,TB,2024-03-02,,
cest-2.1,control,30pct,10.31,TB,2024-03-02,,
cest-2.1,control,30pct,3.83,TB,2024-03-02,,
cest-2.1,control,30pct,5.67,TB,2024-03-02,,
cest-2.1,control,30pct,6.72,TB,2024-03-02,,
cest-2.1,control,30pct,1.78,TB,2024-03-02,,
cest-2.1,control,30pct,4.99,TB,2024-03-02,,
cest-2.1,control,30pct,4.54,TB,2024-03-02,5.245,1
tbh-1,control,30pct,3.51,TB,2024-03-02,,
tbh-1,control,30pct,8.24,TB,2024-03-02,,
tbh-1,control,30pct,3.29,TB,2024-03-02,,
tbh-1,control,30pct,3.58,TB,2024-03-02,,
tbh-1,control,30pct,5.08,TB,2024-03-02,,
tbh-1,control,30pct,5.02,TB,2024-03-02,,
tbh-1,control,30pct,8.58,TB,2024-03-02,,
tbh-1,control,30pct,7.06,TB,2024-03-02,,
tbh-1,control,30pct,3.36,TB,2024-03-02,,
tbh-1,control,30pct,4.48,TB,2024-03-02,,
tbh-1,control,30pct,3.82,TB,2024-03-02,,
tbh-1,control,30pct,3.58,TB,2024-03-02,,
tbh-1,control,30pct,5.93,TB,2024-03-02,,
tbh-1,control,30pct,2.93,TB,2024-03-02,,
tbh-1,control,30pct,5.32,TB,2024-03-02,,
tbh-1,control,30pct,8.63,TB,2024-03-02,,
tbh-1,control,30pct,6.48,TB,2024-03-02,,
tbh-1,control,30pct,6.63,TB,2024-03-02,,
tbh-1,control,30pct,8.05,TB,2024-03-02,5.451052632,2
tbh-1,4mMOA,30pct,1.79,TB,2024-03-02,,
tbh-1,4mMOA,30pct,2.19,TB,2024-03-02,,
tbh-1,4mMOA,30pct,10.03,TB,2024-03-02,,
tbh-1,4mMOA,30pct,6.54,TB,2024-03-02,,
tbh-1,4mMOA,30pct,19.25,TB,2024-03-02,,
tbh-1,4mMOA,30pct,8.89,TB,2024-03-02,,
tbh-1,4mMOA,30pct,3.13,TB,2024-03-02,,
tbh-1,4mMOA,30pct,15.34,TB,2024-03-02,,
tbh-1,4mMOA,30pct,7.87,TB,2024-03-02,,
tbh-1,4mMOA,30pct,10.5,TB,2024-03-02,,
tbh-1,4mMOA,30pct,4.96,TB,2024-03-02,,
tbh-1,4mMOA,30pct,1.39,TB,2024-03-02,,
tbh-1,4mMOA,30pct,15.04,TB,2024-03-02,,
tbh-1,4mMOA,30pct,12.61,TB,2024-03-02,,
tbh-1,4mMOA,30pct,1.27,TB,2024-03-02,,
tbh-1,4mMOA,30pct,6.44,TB,2024-03-02,,
tbh-1,4mMOA,30pct,12.19,TB,2024-03-02,8.201764706,2
cest-2.1,4mMOA,30pct,4.47,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,13.58,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,7.21,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,3.65,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,4.38,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,11.26,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,4.33,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,8.77,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,8.73,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,8.51,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,7.13,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,7.46,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,10.03,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,10.31,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,4.72,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,6.3,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,6.99,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,7.84,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,5.28,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,7.14,TB,2024-03-02,,
cest-2.1,4mMOA,30pct,8.11,TB,2024-03-02,,
